,Songs,Artists
671,"Nuthin' But A ""G"" Thang",Dr. Dre
672,Peggy Sue - Single Version,Buddy Holly
673,White Rabbit,Jefferson Airplane
674,Kiss,Prince
675,Sunday Bloody Sunday,U2
676,Psycho Killer - 2005 Remaster,Talking Heads
677,Tainted Love,Soft Cell
678,Little Red Corvette,Prince
679,Family Affair - Single Version,Sly & The Family Stone
680,Can't Get You out of My Head,Kylie Minogue
681,Honky Tonk Women - Mono Version,The Rolling Stones
682,Your Best American Girl,Mitski
683,Autobahn - 2009 Remaster,Kraftwerk
684,My Girls,Animal Collective
685,Eleanor Rigby - Remastered,The Beatles
686,Get It On,T. Rex
687,There She Goes,The La's
688,Help! - Remastered,The Beatles
689,House Of Jealous Lovers,The Rapture
690,Last Nite,The Strokes
691,Le Freak,CHIC
692,Won't Get Fooled Again - Original Album Version,The Who
693,In My Life - Remastered,The Beatles
694,Hurt,Johnny Cash
695,Ms. Jackson,Outkast
696,Walk on By,Dionne Warwick
697,Folsom Prison Blues,Johnny Cash
698,Sign 'O' the Times - Single Version,Prince
699,bad guy,Billie Eilish
700,Heroin,The Velvet Underground
701,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
702,Thunder Road,Bruce Springsteen
703,One,U2
704,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
705,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
706,Yesterday - Remastered,The Beatles
707,Dancing Queen,ABBA
708,Summertime Blues,Eddie Cochran
709,This Charming Man - 2011 Remaster,The Smiths
710,Blue Suede Shoes,Carl Perkins
711,Good Times,CHIC
712,Pyramids,Frank Ocean
713,My Girl - Single Version/Mono,The Temptations
714,Paint It Black,The Rolling Stones
715,Video Games,Lana Del Rey
716,Rehab,Amy Winehouse
717,Rapper's Delight - Long Version,The Sugarhill Gang
718,The Sound of Silence - Electric Version,Simon & Garfunkel
719,Fortunate Son,Creedence Clearwater Revival
720,Papa's Got A Brand New Bag - Pt. 1,James Brown
721,Bridge over Troubled Water,Simon & Garfunkel
722,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
723,Proud Mary,Creedence Clearwater Revival
724,Every Breath You Take - Remastered 2003,The Police
725,Maybellene - Single Version,Chuck Berry
726,A Whiter Shade Of Pale,Procol Harum
727,Midnight City,M83
728,Losing My Edge,LCD Soundsystem
729,I'm So Lonesome I Could Cry - Single Version,Hank Williams
730,Eight Miles High,The Byrds
731,Born Slippy (Nuxx),Underworld
732,Great Balls Of Fire,Jerry Lee Lewis
733,Green Onions,Booker T. & the M.G.'s
734,Maps,Yeah Yeah Yeahs
735,Umbrella,Rihanna
736,She Loves You - Remastered,The Beatles
737,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
738,Tangled up in Blue,Bob Dylan
739,Maggie May,Rod Stewart
740,Will You Still Love Me Tomorrow,The Shirelles
741,Seasons (Waiting On You),Future Islands
742,Creep,Radiohead
743,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
744,Paranoid,Black Sabbath
745,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
746,Kashmir - 1990 Remaster,Led Zeppelin
747,Walk This Way (feat. Aerosmith),Run–D.M.C.
748,Like a Prayer,Madonna
749,Marquee Moon - 2003 Remaster,Television
750,Hotline Bling,Drake
751,Live Forever,Oasis
752,Time to Pretend,MGMT
753,When a Man Loves a Woman,Percy Sledge
754,Brown Sugar,The Rolling Stones
755,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
756,Tomorrow Never Knows - Remastered,The Beatles
757,This Land is Your Land,Woody Guthrie
758,"Oh, Pretty Woman",Roy Orbison
759,Jailhouse Rock,Elvis Presley
760,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
761,I Bet You Look Good On The Dancefloor,Arctic Monkeys
762,Like a Virgin,Madonna
763,Into the Groove,Madonna
764,Let It Happen,Tame Impala
765,Cranes in the Sky,Solange
766,Song 2 - 2012 Remaster,Blur
767,Purple Rain,Prince
768,Wuthering Heights,Kate Bush
769,Born In The U.S.A.,Bruce Springsteen
770,Kids,MGMT
771,"Nuthin' But A ""G"" Thang",Dr. Dre
772,Peggy Sue - Single Version,Buddy Holly
773,White Rabbit,Jefferson Airplane
774,Kiss,Prince
775,Sunday Bloody Sunday,U2
776,Psycho Killer - 2005 Remaster,Talking Heads
777,Tainted Love,Soft Cell
778,Little Red Corvette,Prince
779,Family Affair - Single Version,Sly & The Family Stone
780,Can't Get You out of My Head,Kylie Minogue
781,Honky Tonk Women - Mono Version,The Rolling Stones
782,Your Best American Girl,Mitski
783,Autobahn - 2009 Remaster,Kraftwerk
784,My Girls,Animal Collective
785,Eleanor Rigby - Remastered,The Beatles
786,Get It On,T. Rex
787,There She Goes,The La's
788,Help! - Remastered,The Beatles
789,House Of Jealous Lovers,The Rapture
790,Last Nite,The Strokes
791,Le Freak,CHIC
792,Won't Get Fooled Again - Original Album Version,The Who
793,In My Life - Remastered,The Beatles
794,Hurt,Johnny Cash
795,Ms. Jackson,Outkast
796,Walk on By,Dionne Warwick
797,Folsom Prison Blues,Johnny Cash
798,Sign 'O' the Times - Single Version,Prince
799,bad guy,Billie Eilish
800,Heroin,The Velvet Underground
801,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
802,Thunder Road,Bruce Springsteen
803,One,U2
804,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
805,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
806,Yesterday - Remastered,The Beatles
807,Dancing Queen,ABBA
808,Summertime Blues,Eddie Cochran
809,This Charming Man - 2011 Remaster,The Smiths
810,Blue Suede Shoes,Carl Perkins
811,Good Times,CHIC
812,Pyramids,Frank Ocean
813,My Girl - Single Version/Mono,The Temptations
814,Paint It Black,The Rolling Stones
815,Video Games,Lana Del Rey
816,Rehab,Amy Winehouse
817,Rapper's Delight - Long Version,The Sugarhill Gang
818,The Sound of Silence - Electric Version,Simon & Garfunkel
819,Fortunate Son,Creedence Clearwater Revival
820,Papa's Got A Brand New Bag - Pt. 1,James Brown
821,Bridge over Troubled Water,Simon & Garfunkel
822,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
823,Proud Mary,Creedence Clearwater Revival
824,Every Breath You Take - Remastered 2003,The Police
825,Maybellene - Single Version,Chuck Berry
826,A Whiter Shade Of Pale,Procol Harum
827,Midnight City,M83
828,Losing My Edge,LCD Soundsystem
829,I'm So Lonesome I Could Cry - Single Version,Hank Williams
830,Eight Miles High,The Byrds
831,Born Slippy (Nuxx),Underworld
832,Great Balls Of Fire,Jerry Lee Lewis
833,Green Onions,Booker T. & the M.G.'s
834,Maps,Yeah Yeah Yeahs
835,Umbrella,Rihanna
836,She Loves You - Remastered,The Beatles
837,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
838,Tangled up in Blue,Bob Dylan
839,Maggie May,Rod Stewart
840,Will You Still Love Me Tomorrow,The Shirelles
841,Seasons (Waiting On You),Future Islands
842,Creep,Radiohead
843,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
844,Paranoid,Black Sabbath
845,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
846,Kashmir - 1990 Remaster,Led Zeppelin
847,Walk This Way (feat. Aerosmith),Run–D.M.C.
848,Like a Prayer,Madonna
849,Marquee Moon - 2003 Remaster,Television
850,Hotline Bling,Drake
851,Live Forever,Oasis
852,Time to Pretend,MGMT
853,When a Man Loves a Woman,Percy Sledge
854,Brown Sugar,The Rolling Stones
855,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
856,Tomorrow Never Knows - Remastered,The Beatles
857,This Land is Your Land,Woody Guthrie
858,"Oh, Pretty Woman",Roy Orbison
859,Jailhouse Rock,Elvis Presley
860,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
861,I Bet You Look Good On The Dancefloor,Arctic Monkeys
862,Like a Virgin,Madonna
863,Into the Groove,Madonna
864,Let It Happen,Tame Impala
865,Cranes in the Sky,Solange
866,Song 2 - 2012 Remaster,Blur
867,Purple Rain,Prince
868,Wuthering Heights,Kate Bush
869,Born In The U.S.A.,Bruce Springsteen
870,Kids,MGMT
871,"Nuthin' But A ""G"" Thang",Dr. Dre
872,Peggy Sue - Single Version,Buddy Holly
873,White Rabbit,Jefferson Airplane
874,Kiss,Prince
875,Sunday Bloody Sunday,U2
876,Psycho Killer - 2005 Remaster,Talking Heads
877,Tainted Love,Soft Cell
878,Little Red Corvette,Prince
879,Family Affair - Single Version,Sly & The Family Stone
880,Can't Get You out of My Head,Kylie Minogue
881,Honky Tonk Women - Mono Version,The Rolling Stones
882,Your Best American Girl,Mitski
883,Autobahn - 2009 Remaster,Kraftwerk
884,My Girls,Animal Collective
885,Eleanor Rigby - Remastered,The Beatles
886,Get It On,T. Rex
887,There She Goes,The La's
888,Help! - Remastered,The Beatles
889,House Of Jealous Lovers,The Rapture
890,Last Nite,The Strokes
891,Le Freak,CHIC
892,Won't Get Fooled Again - Original Album Version,The Who
893,In My Life - Remastered,The Beatles
894,Hurt,Johnny Cash
895,Ms. Jackson,Outkast
896,Walk on By,Dionne Warwick
897,Folsom Prison Blues,Johnny Cash
898,Sign 'O' the Times - Single Version,Prince
899,bad guy,Billie Eilish
900,Heroin,The Velvet Underground
901,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
902,Thunder Road,Bruce Springsteen
903,One,U2
904,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
905,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
906,Yesterday - Remastered,The Beatles
907,Dancing Queen,ABBA
908,Summertime Blues,Eddie Cochran
909,This Charming Man - 2011 Remaster,The Smiths
910,Blue Suede Shoes,Carl Perkins
911,Good Times,CHIC
912,Pyramids,Frank Ocean
913,My Girl - Single Version/Mono,The Temptations
914,Paint It Black,The Rolling Stones
915,Video Games,Lana Del Rey
916,Rehab,Amy Winehouse
917,Rapper's Delight - Long Version,The Sugarhill Gang
918,The Sound of Silence - Electric Version,Simon & Garfunkel
919,Fortunate Son,Creedence Clearwater Revival
920,Papa's Got A Brand New Bag - Pt. 1,James Brown
921,Bridge over Troubled Water,Simon & Garfunkel
922,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
923,Proud Mary,Creedence Clearwater Revival
924,Every Breath You Take - Remastered 2003,The Police
925,Maybellene - Single Version,Chuck Berry
926,A Whiter Shade Of Pale,Procol Harum
927,Midnight City,M83
928,Losing My Edge,LCD Soundsystem
929,I'm So Lonesome I Could Cry - Single Version,Hank Williams
930,Eight Miles High,The Byrds
931,Born Slippy (Nuxx),Underworld
932,Great Balls Of Fire,Jerry Lee Lewis
933,Green Onions,Booker T. & the M.G.'s
934,Maps,Yeah Yeah Yeahs
935,Umbrella,Rihanna
936,She Loves You - Remastered,The Beatles
937,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
938,Tangled up in Blue,Bob Dylan
939,Maggie May,Rod Stewart
940,Will You Still Love Me Tomorrow,The Shirelles
941,Seasons (Waiting On You),Future Islands
942,Creep,Radiohead
943,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
944,Paranoid,Black Sabbath
945,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
946,Kashmir - 1990 Remaster,Led Zeppelin
947,Walk This Way (feat. Aerosmith),Run–D.M.C.
948,Like a Prayer,Madonna
949,Marquee Moon - 2003 Remaster,Television
950,Hotline Bling,Drake
951,Live Forever,Oasis
952,Time to Pretend,MGMT
953,When a Man Loves a Woman,Percy Sledge
954,Brown Sugar,The Rolling Stones
955,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
956,Tomorrow Never Knows - Remastered,The Beatles
957,This Land is Your Land,Woody Guthrie
958,"Oh, Pretty Woman",Roy Orbison
959,Jailhouse Rock,Elvis Presley
960,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
961,I Bet You Look Good On The Dancefloor,Arctic Monkeys
962,Like a Virgin,Madonna
963,Into the Groove,Madonna
964,Let It Happen,Tame Impala
965,Cranes in the Sky,Solange
966,Song 2 - 2012 Remaster,Blur
967,Purple Rain,Prince
968,Wuthering Heights,Kate Bush
969,Born In The U.S.A.,Bruce Springsteen
970,Kids,MGMT
971,"Nuthin' But A ""G"" Thang",Dr. Dre
972,Peggy Sue - Single Version,Buddy Holly
973,White Rabbit,Jefferson Airplane
974,Kiss,Prince
975,Sunday Bloody Sunday,U2
976,Psycho Killer - 2005 Remaster,Talking Heads
977,Tainted Love,Soft Cell
978,Little Red Corvette,Prince
979,Family Affair - Single Version,Sly & The Family Stone
980,Can't Get You out of My Head,Kylie Minogue
981,Honky Tonk Women - Mono Version,The Rolling Stones
982,Your Best American Girl,Mitski
983,Autobahn - 2009 Remaster,Kraftwerk
984,My Girls,Animal Collective
985,Eleanor Rigby - Remastered,The Beatles
986,Get It On,T. Rex
987,There She Goes,The La's
988,Help! - Remastered,The Beatles
989,House Of Jealous Lovers,The Rapture
990,Last Nite,The Strokes
991,Le Freak,CHIC
992,Won't Get Fooled Again - Original Album Version,The Who
993,In My Life - Remastered,The Beatles
994,Hurt,Johnny Cash
995,Ms. Jackson,Outkast
996,Walk on By,Dionne Warwick
997,Folsom Prison Blues,Johnny Cash
998,Sign 'O' the Times - Single Version,Prince
999,bad guy,Billie Eilish
1000,Heroin,The Velvet Underground
1001,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
1002,Thunder Road,Bruce Springsteen
1003,One,U2
1004,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
1005,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
1006,Yesterday - Remastered,The Beatles
1007,Dancing Queen,ABBA
1008,Summertime Blues,Eddie Cochran
1009,This Charming Man - 2011 Remaster,The Smiths
1010,Blue Suede Shoes,Carl Perkins
1011,Good Times,CHIC
1012,Pyramids,Frank Ocean
1013,My Girl - Single Version/Mono,The Temptations
1014,Paint It Black,The Rolling Stones
1015,Video Games,Lana Del Rey
1016,Rehab,Amy Winehouse
1017,Rapper's Delight - Long Version,The Sugarhill Gang
1018,The Sound of Silence - Electric Version,Simon & Garfunkel
1019,Fortunate Son,Creedence Clearwater Revival
1020,Papa's Got A Brand New Bag - Pt. 1,James Brown
1021,Bridge over Troubled Water,Simon & Garfunkel
1022,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
1023,Proud Mary,Creedence Clearwater Revival
1024,Every Breath You Take - Remastered 2003,The Police
1025,Maybellene - Single Version,Chuck Berry
1026,A Whiter Shade Of Pale,Procol Harum
1027,Midnight City,M83
1028,Losing My Edge,LCD Soundsystem
1029,I'm So Lonesome I Could Cry - Single Version,Hank Williams
1030,Eight Miles High,The Byrds
1031,Born Slippy (Nuxx),Underworld
1032,Great Balls Of Fire,Jerry Lee Lewis
1033,Green Onions,Booker T. & the M.G.'s
1034,Maps,Yeah Yeah Yeahs
1035,Umbrella,Rihanna
1036,She Loves You - Remastered,The Beatles
1037,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
1038,Tangled up in Blue,Bob Dylan
1039,Maggie May,Rod Stewart
1040,Will You Still Love Me Tomorrow,The Shirelles
1041,Seasons (Waiting On You),Future Islands
1042,Creep,Radiohead
1043,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
1044,Paranoid,Black Sabbath
1045,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
1046,Kashmir - 1990 Remaster,Led Zeppelin
1047,Walk This Way (feat. Aerosmith),Run–D.M.C.
1048,Like a Prayer,Madonna
1049,Marquee Moon - 2003 Remaster,Television
1050,Hotline Bling,Drake
1051,Live Forever,Oasis
1052,Time to Pretend,MGMT
1053,When a Man Loves a Woman,Percy Sledge
1054,Brown Sugar,The Rolling Stones
1055,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
1056,Tomorrow Never Knows - Remastered,The Beatles
1057,This Land is Your Land,Woody Guthrie
1058,"Oh, Pretty Woman",Roy Orbison
1059,Jailhouse Rock,Elvis Presley
1060,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
1061,I Bet You Look Good On The Dancefloor,Arctic Monkeys
1062,Like a Virgin,Madonna
1063,Into the Groove,Madonna
1064,Let It Happen,Tame Impala
1065,Cranes in the Sky,Solange
1066,Song 2 - 2012 Remaster,Blur
1067,Purple Rain,Prince
1068,Wuthering Heights,Kate Bush
1069,Born In The U.S.A.,Bruce Springsteen
1070,Kids,MGMT
1071,"Nuthin' But A ""G"" Thang",Dr. Dre
1072,Peggy Sue - Single Version,Buddy Holly
1073,White Rabbit,Jefferson Airplane
1074,Kiss,Prince
1075,Sunday Bloody Sunday,U2
1076,Psycho Killer - 2005 Remaster,Talking Heads
1077,Tainted Love,Soft Cell
1078,Little Red Corvette,Prince
1079,Family Affair - Single Version,Sly & The Family Stone
1080,Can't Get You out of My Head,Kylie Minogue
1081,Honky Tonk Women - Mono Version,The Rolling Stones
1082,Your Best American Girl,Mitski
1083,Autobahn - 2009 Remaster,Kraftwerk
1084,My Girls,Animal Collective
1085,Eleanor Rigby - Remastered,The Beatles
1086,Get It On,T. Rex
1087,There She Goes,The La's
1088,Help! - Remastered,The Beatles
1089,House Of Jealous Lovers,The Rapture
1090,Last Nite,The Strokes
1091,Le Freak,CHIC
1092,Won't Get Fooled Again - Original Album Version,The Who
1093,In My Life - Remastered,The Beatles
1094,Hurt,Johnny Cash
1095,Ms. Jackson,Outkast
1096,Walk on By,Dionne Warwick
1097,Folsom Prison Blues,Johnny Cash
1098,Sign 'O' the Times - Single Version,Prince
1099,bad guy,Billie Eilish
1100,Heroin,The Velvet Underground
1101,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
1102,Thunder Road,Bruce Springsteen
1103,One,U2
1104,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
1105,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
1106,Yesterday - Remastered,The Beatles
1107,Dancing Queen,ABBA
1108,Summertime Blues,Eddie Cochran
1109,This Charming Man - 2011 Remaster,The Smiths
1110,Blue Suede Shoes,Carl Perkins
1111,Good Times,CHIC
1112,Pyramids,Frank Ocean
1113,My Girl - Single Version/Mono,The Temptations
1114,Paint It Black,The Rolling Stones
1115,Video Games,Lana Del Rey
1116,Rehab,Amy Winehouse
1117,Rapper's Delight - Long Version,The Sugarhill Gang
1118,The Sound of Silence - Electric Version,Simon & Garfunkel
1119,Fortunate Son,Creedence Clearwater Revival
1120,Papa's Got A Brand New Bag - Pt. 1,James Brown
1121,Bridge over Troubled Water,Simon & Garfunkel
1122,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
1123,Proud Mary,Creedence Clearwater Revival
1124,Every Breath You Take - Remastered 2003,The Police
1125,Maybellene - Single Version,Chuck Berry
1126,A Whiter Shade Of Pale,Procol Harum
1127,Midnight City,M83
1128,Losing My Edge,LCD Soundsystem
1129,I'm So Lonesome I Could Cry - Single Version,Hank Williams
1130,Eight Miles High,The Byrds
1131,Born Slippy (Nuxx),Underworld
1132,Great Balls Of Fire,Jerry Lee Lewis
1133,Green Onions,Booker T. & the M.G.'s
1134,Maps,Yeah Yeah Yeahs
1135,Umbrella,Rihanna
1136,She Loves You - Remastered,The Beatles
1137,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
1138,Tangled up in Blue,Bob Dylan
1139,Maggie May,Rod Stewart
1140,Will You Still Love Me Tomorrow,The Shirelles
1141,Seasons (Waiting On You),Future Islands
1142,Creep,Radiohead
1143,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
1144,Paranoid,Black Sabbath
1145,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
1146,Kashmir - 1990 Remaster,Led Zeppelin
1147,Walk This Way (feat. Aerosmith),Run–D.M.C.
1148,Like a Prayer,Madonna
1149,Marquee Moon - 2003 Remaster,Television
1150,Hotline Bling,Drake
1151,Live Forever,Oasis
1152,Time to Pretend,MGMT
1153,When a Man Loves a Woman,Percy Sledge
1154,Brown Sugar,The Rolling Stones
1155,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
1156,Tomorrow Never Knows - Remastered,The Beatles
1157,This Land is Your Land,Woody Guthrie
1158,"Oh, Pretty Woman",Roy Orbison
1159,Jailhouse Rock,Elvis Presley
